model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar_bic,absolute,rolling window,pcpi_pch,1,0.795552373344382,0.308904363373418,0.283429894945572,0.203218115025391,3.93951496818197,6.06226004643271,5.00088750730734,0.272727272727273,0.636363636363636,0.236363636363636,0.545454545454545,0.818181818181818,0.872727272727273
ar_bic,absolute,rolling window,pcpi_pch,1.5,0.940769284833745,0.364206661912192,0.377317214678834,0.199245408242719,4.5801024871716,7.3651294787459,5.97261598295875,0.309090909090909,0.636363636363636,0.218181818181818,0.454545454545455,0.763636363636364,0.854545454545455
bvar,absolute,rolling window,ngdp_rpch,0,0.136767940022491,0.0390346727227415,0.00311170318898672,0.0946215641107626,0.623868630523489,1.17568722414109,0.899777927332291,0.563636363636364,0.690909090909091,0.290909090909091,0.345454545454545,0.909090909090909,0.981818181818182
bvar,absolute,rolling window,ngdp_rpch,0.5,0.586716335022069,0.182273229609266,0.194016014680657,0.210427090732146,2.67209583762971,5.05408710636712,3.86309147199841,0.563636363636364,0.781818181818182,0.127272727272727,0.236363636363636,0.8,0.909090909090909
bvar,absolute,rolling window,ngdp_rpch,1,1.25079712933489,0.39093702392434,0.00372015450417673,0.856139950906368,5.61168688978157,10.9867253622438,8.29920612601267,0.490909090909091,0.781818181818182,0.218181818181818,0.490909090909091,0.981818181818182,1
bvar,absolute,rolling window,ngdp_rpch,1.5,1.59790329561893,0.452921658695656,0.481601038463903,0.663380598459367,7.20794262317416,13.9382093544431,10.5730759888086,0.527272727272727,0.763636363636364,0.145454545454545,0.327272727272727,0.854545454545455,0.909090909090909
bvar,absolute,rolling window,pcpi_pch,0,0.085324159460671,0.0407877433592551,0.0163699930888461,0.0281664230125699,0.426025709012427,0.641418916682354,0.53372231284739,0.363636363636364,0.636363636363636,0.290909090909091,0.563636363636364,0.927272727272727,0.927272727272727
bvar,absolute,rolling window,pcpi_pch,0.5,0.346832201665016,0.128776635501136,0.188145498500145,0.0299100676637349,1.6658022214304,2.77213847972431,2.21897035057736,0.345454545454545,0.618181818181818,0.0909090909090909,0.236363636363636,0.581818181818182,0.709090909090909
bvar,absolute,rolling window,pcpi_pch,1,0.779303971925758,0.331006894208396,0.255163124976043,0.193133952741319,3.88152034402546,5.88227857845152,4.88189946123849,0.327272727272727,0.618181818181818,0.254545454545455,0.490909090909091,0.818181818181818,0.872727272727273
bvar,absolute,rolling window,pcpi_pch,1.5,0.992798262343978,0.416324235449272,0.343445051077787,0.233028975816919,4.94984733658206,7.48134690542441,6.21559712100324,0.309090909090909,0.563636363636364,0.254545454545455,0.490909090909091,0.8,0.818181818181818
bvar_const,absolute,rolling window,ngdp_rpch,0,0.127761906769551,0.042005665415102,0.0713292335629449,0.014427007791504,0.593548378488609,1.0713671891695,0.832457783829053,0.527272727272727,0.727272727272727,0.163636363636364,0.290909090909091,0.818181818181818,0.890909090909091
bvar_const,absolute,rolling window,ngdp_rpch,0.5,0.617841811450445,0.18874179798356,0.195807666280924,0.23329234718596,2.81981206915073,5.30730605613208,4.0635590626414,0.527272727272727,0.709090909090909,0.145454545454545,0.272727272727273,0.8,0.854545454545455
bvar_const,absolute,rolling window,ngdp_rpch,1,1.31034090972209,0.420074413622093,0.230916812920537,0.659349683179457,5.88448765542377,11.4955990558823,8.69004335565304,0.545454545454545,0.781818181818182,0.145454545454545,0.363636363636364,0.909090909090909,0.927272727272727
bvar_const,absolute,rolling window,ngdp_rpch,1.5,1.65102619899518,0.473938999593076,0.50206209472863,0.675025104673478,7.44428145386656,14.4098203452373,10.9270508995519,0.509090909090909,0.763636363636364,0.145454545454545,0.345454545454545,0.854545454545455,0.909090909090909
bvar_const,absolute,rolling window,pcpi_pch,0,0.0898156875045231,0.0427585648526898,0.0120069148189098,0.0350502078329236,0.451896963116014,0.666571342300428,0.559234152708221,0.363636363636364,0.636363636363636,0.290909090909091,0.563636363636364,0.927272727272727,0.927272727272727
bvar_const,absolute,rolling window,pcpi_pch,0.5,0.345496945007905,0.15181159661869,0.159357310652434,0.0343280377367806,1.71276859976248,2.62801740075191,2.17039300025719,0.454545454545455,0.618181818181818,0.109090909090909,0.236363636363636,0.690909090909091,0.727272727272727
bvar_const,absolute,rolling window,pcpi_pch,1,0.819692163721102,0.426742259185863,0.163113934917472,0.229835969617767,4.26169896188398,5.73959586971211,5.00064741579804,0.236363636363636,0.672727272727273,0.236363636363636,0.6,0.836363636363636,0.909090909090909
bvar_const,absolute,rolling window,pcpi_pch,1.5,1.08669035387878,0.636057968322571,0.215442156226174,0.23519022933004,5.65188300822856,7.6040995570043,6.62799128261643,0.363636363636364,0.636363636363636,0.218181818181818,0.490909090909091,0.854545454545455,0.854545454545455
bvar_mix,absolute,rolling window,ngdp_rpch,0,0.126167611551775,0.0399344462458567,0.0715947539317322,0.0146384113741863,0.582157802423278,1.06795772497731,0.825057763700294,0.527272727272727,0.727272727272727,0.163636363636364,0.290909090909091,0.818181818181818,0.890909090909091
bvar_mix,absolute,rolling window,ngdp_rpch,0.5,0.611097143277561,0.185473590520049,0.195019530060184,0.230604022697328,2.79142098287743,5.24339040835765,4.01740569561754,0.545454545454545,0.727272727272727,0.145454545454545,0.236363636363636,0.781818181818182,0.872727272727273
bvar_mix,absolute,rolling window,ngdp_rpch,1,1.29167903210874,0.397125351403182,0.23397668252812,0.660576998177441,5.78290179665621,11.3763261505343,8.57961397359528,0.527272727272727,0.781818181818182,0.145454545454545,0.381818181818182,0.909090909090909,0.927272727272727
bvar_mix,absolute,rolling window,ngdp_rpch,1.5,1.6259864207026,0.457355544148943,0.503175075319748,0.66545580123391,7.30470646535122,14.257962250674,10.7813343580126,0.509090909090909,0.763636363636364,0.145454545454545,0.345454545454545,0.854545454545455,0.909090909090909
