source,target,country,horizon,ae,sque
bvar,pcpi_pch,USA,0,0.173192082071279,0.0664658144181859
bvar,ngdp_rpch,CAN,0.5,0.556834285724779,0.659781321670263
bvar,ngdp_rpch,DEU,0.5,0.744790770567335,0.907429123928329
bvar,ngdp_rpch,FRA,0.5,0.443368583597449,0.37775170635509
bvar,ngdp_rpch,GBR,0.5,0.963501777670264,3.87108788336995
bvar,ngdp_rpch,ITA,0.5,0.685479983434497,1.00803212271621
bvar,ngdp_rpch,JPN,0.5,1.13568068658135,2.41045856871196
bvar,ngdp_rpch,USA,0.5,0.605435102923083,0.618747486614857
bvar,pcpi_pch,CAN,0.5,0.496459098425846,0.375772134026445
bvar,pcpi_pch,DEU,0.5,0.48015283918144,0.407411179871984
bvar,pcpi_pch,FRA,0.5,0.435173537465784,0.275619936530419
bvar,pcpi_pch,GBR,0.5,0.439381884615403,0.556376055450861
bvar,pcpi_pch,ITA,0.5,0.323117453336687,0.162801493747688
bvar,pcpi_pch,JPN,0.5,0.451062066727784,0.397944580390846
bvar,pcpi_pch,USA,0.5,0.487536613448997,0.355911162932263
bvar,ngdp_rpch,CAN,1,1.46114003822547,4.95754870703711
bvar,ngdp_rpch,DEU,1,1.57995290272548,5.06682600392032
bvar,ngdp_rpch,FRA,1,1.50491845038194,6.22902956183976
bvar,ngdp_rpch,GBR,1,1.41071455003622,7.54865194598815
bvar,ngdp_rpch,ITA,1,1.70260190943209,7.62796050366544
bvar,ngdp_rpch,JPN,1,1.93525284758482,6.43759906318053
bvar,ngdp_rpch,USA,1,1.31292943194433,3.60702579852083
bvar,pcpi_pch,CAN,1,0.964650803455282,1.80040783991477
bvar,pcpi_pch,DEU,1,1.18357195022166,2.08332905508062
bvar,pcpi_pch,FRA,1,0.644103790083995,0.721536626431577
bvar,pcpi_pch,GBR,1,1.16299120004731,2.18395650414429
bvar,pcpi_pch,ITA,1,1.07400581624455,2.13148292164788
bvar,pcpi_pch,JPN,1,0.978052455790023,1.32949745308855
bvar,pcpi_pch,USA,1,0.997079950731703,1.97917627167742
bvar,ngdp_rpch,CAN,1.5,1.4613429539832,5.27373757068442
bvar,ngdp_rpch,DEU,1.5,1.86862980692967,6.42027044585102
bvar,ngdp_rpch,FRA,1.5,1.61117807247895,7.39592388678689
bvar,ngdp_rpch,GBR,1.5,1.8948445686564,11.859749726326
bvar,ngdp_rpch,ITA,1.5,2.36437602539754,14.1624603705504
bvar,ngdp_rpch,JPN,1.5,2.42441128484843,9.47196905951201
bvar,ngdp_rpch,USA,1.5,1.58397799171506,4.55217550820948
bvar,pcpi_pch,CAN,1.5,1.56687401996577,2.98975281091536
bvar,pcpi_pch,DEU,1.5,1.36832274918724,2.58891708419223
bvar,pcpi_pch,FRA,1.5,1.22374367772511,2.02508814825968
bvar,pcpi_pch,GBR,1.5,1.40321587775727,3.32108968046714
bvar,pcpi_pch,ITA,1.5,1.58692593644443,3.37514498016112
bvar,pcpi_pch,JPN,1.5,1.15983623911721,2.11101028968624
bvar,pcpi_pch,USA,1.5,1.2333798359643,2.85970090463611
