model,country,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
ar,JPN,ngdp_rpch,1,5.59251000978859,0.794888884023466,0,4.79762112576513,26.0554979946051,46.711455209259,36.3834766019321,0,0,1,1,1,1
ar,JPN,ngdp_rpch,1.5,6.01808708586548,0.908030227219854,0,5.11005685864563,28.2823798232812,49.6557921591068,38.969085991194,0,0,1,1,1,1
ar,USA,ngdp_rpch,0,0.43186457203153,0.081041412838114,0.0309963370486675,0.319826822144749,1.93740911289587,3.79376865839093,2.8655888856434,0.5,0.5,0.25,0.25,0.75,0.75
ar,USA,ngdp_rpch,0.5,1.02677140590418,0.303073994755599,0,0.723697411148582,4.55173828415472,9.15608240769682,6.85391034592577,0.75,0.75,0.25,0.25,1,1
ar,USA,ngdp_rpch,1,1.80258909502066,0.523481090068738,0,1.27910800495192,8.00375645119683,16.0423907724211,12.023073611809,0.75,0.75,0.25,0.25,1,1
ar,USA,ngdp_rpch,1.5,2.00121868853437,0.561636784605234,0.305510411016009,1.13407149291312,9.44788750838425,16.4046549997267,12.9262712540555,0.5,0.5,0.25,0.25,0.75,0.75
ar,CAN,pcpi_pch,0,0.0649954296755955,0.0630541113280756,0,0.00194131834751998,0.302138111795196,0.54456331402392,0.423350712909558,0.75,1,0,0.25,1,1
ar,CAN,pcpi_pch,0.5,0.316703586562331,0.260222067453682,0.019143817705085,0.0373377014035639,1.63467134649836,2.24739336500072,1.94103235574954,0.5,1,0,0.25,0.75,1
ar,CAN,pcpi_pch,1,0.792484162176562,0.563663619129377,0.153529234885491,0.0752913081616939,4.35200000281186,4.96968323650159,4.66084161965672,0.5,0.75,0,0.25,0.75,0.75
ar,CAN,pcpi_pch,1.5,1.02701195083216,0.716407222824991,0.177347254203343,0.133257473803828,5.74121120508431,6.18721100393246,5.96421110450838,0.5,1,0,0.25,0.75,1
ar,DEU,pcpi_pch,0,0.615522992646366,0.0474957310676677,0.568027261578699,0,2.63289497396162,5.72822241802328,4.18055869599245,0.25,0.25,0,0,0.25,0.25
ar,DEU,pcpi_pch,0.5,1.03941911751134,0.205171548507199,0.834247569004139,0,4.4782600685086,9.59273217895526,7.03549612373193,0.75,0.75,0,0,0.75,0.75
ar,DEU,pcpi_pch,1,2.14994353622744,0.388221068108331,1.47717336312624,0.284549104992864,10.3997394642023,16.9995220640429,13.6996307641226,0,0,0.25,0.25,0.25,0.25
ar,DEU,pcpi_pch,1.5,2.05939467956402,0.439026802362047,1.51853855456527,0.101829322636701,9.78371930875112,16.7285953194026,13.2561573140769,0.25,0.5,0,0.25,0.5,0.5
ar,FRA,pcpi_pch,0,0.400254329650154,0.0666092119469092,0.333645117703245,0,1.84136539207064,3.40167311282649,2.62151925244856,0.25,0.25,0,0,0.25,0.25
ar,FRA,pcpi_pch,0.5,0.373157077854336,0.234805087835547,0.138351990018789,0,1.85975808003814,2.81374635699137,2.33675221851475,0.75,0.75,0,0,0.75,0.75
ar,FRA,pcpi_pch,1,0.881716534682657,0.556396084786189,0.312614714398146,0.0127057354983228,4.44786597363399,6.51466575956819,5.48126586660109,0.5,0.75,0,0.25,0.75,0.75
ar,FRA,pcpi_pch,1.5,0.911571826893303,0.781239405167459,0.130332421725844,0,4.59372240352457,6.74713052905464,5.6704264662896,0.75,1,0,0,0.75,1
ar,GBR,pcpi_pch,0,0.553785115537884,0.097073225481151,0.445004776159378,0.011707113897355,2.5659541525225,4.66081692945144,3.61338554098697,0,0.5,0,0.25,0.25,0.5
ar,GBR,pcpi_pch,0.5,1.07915365433528,0.414924502721155,0.664229151614125,0,5.13904176757514,8.73546866776777,6.93725521767145,0.25,0.75,0,0,0.25,0.75
ar,GBR,pcpi_pch,1,1.39050180365971,0.866846927552631,0.446010747249796,0.0776441288572796,7.22901881718623,9.73748903022856,8.4832539237074,0.5,0.75,0,0.25,0.75,0.75
ar,GBR,pcpi_pch,1.5,1.54360724428788,1.0654507597788,0.41586361051369,0.0622928739953859,8.16769073250376,10.4529180544981,9.31030439350095,0.25,0.75,0,0.25,0.5,0.75
ar,ITA,pcpi_pch,0,0.37927474989209,0.0943763454040172,0.284898404488072,0,1.66441135093292,3.4244666205095,2.54443898572121,0.75,0.75,0,0,0.75,0.75
ar,ITA,pcpi_pch,0.5,0.323039014188294,0.322285940272004,0,0.000753073916290127,1.47095029774991,2.78340453939111,2.12717741857051,0.75,1,0,0.25,1,1
ar,ITA,pcpi_pch,1,1.47055506241802,0.763521037341249,0.675036285049476,0.031997740027297,7.20372290975335,11.4017939739771,9.3027584418652,0.25,0.75,0,0.5,0.75,0.75
ar,ITA,pcpi_pch,1.5,1.46385316758411,1.0930025418264,0.218185622104096,0.152665003653615,7.93496315578451,9.4396554622209,8.68730930900271,0.25,1,0,0.5,0.75,1
ar,JPN,pcpi_pch,0,0.0877872984628204,0.0877872984628204,0,0,0.399030345868567,0.758170104584989,0.578600225226778,1,1,0,0,1,1
ar,JPN,pcpi_pch,0.5,0.423995584147519,0.380650417275797,0,0.0433451668717214,2.07697823787693,3.28746608825806,2.68222216306749,0,1,0,1,1,1
ar,JPN,pcpi_pch,1,0.803447146256475,0.776111795968029,0,0.0273353502884461,3.7464386827207,6.70284621832774,5.22464245052422,0,1,0,1,1,1
ar,JPN,pcpi_pch,1.5,1.05175262203079,0.932905396795545,0,0.118847225235248,5.19122681517106,8.05698540268823,6.62410610892964,0,1,0,1,1,1
ar,USA,pcpi_pch,0,0.0671527199215797,0.0586172629882947,0.00236487997993251,0.00617057695335249,0.334723871006053,0.506244720916463,0.420484295961258,0.5,1,0,0.25,0.75,1
