target_year,target,horizon,method,error_method,source,score
2014,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.18895890047657
2015,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.959404156544928
2016,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.928322933966635
2017,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.622188284197684
2018,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.833606692201508
2019,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.968074786528369
2020,ngdp_rpch,1.5,rolling window,absolute,ar-direct,7.9777066683835
2021,ngdp_rpch,1.5,rolling window,absolute,ar-direct,2.74220497522245
2022,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.703705754944418
2023,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.04396596268506
2013,pcpi_pch,0,rolling window,absolute,ar-direct,0.0903575408770768
2014,pcpi_pch,0,rolling window,absolute,ar-direct,0.127261710075655
2015,pcpi_pch,0,rolling window,absolute,ar-direct,0.188467955686757
2016,pcpi_pch,0,rolling window,absolute,ar-direct,0.111070373059433
2017,pcpi_pch,0,rolling window,absolute,ar-direct,0.0714367023789212
2018,pcpi_pch,0,rolling window,absolute,ar-direct,0.0902624212547145
2019,pcpi_pch,0,rolling window,absolute,ar-direct,0.101681121984659
2020,pcpi_pch,0,rolling window,absolute,ar-direct,0.10922253877931
2021,pcpi_pch,0,rolling window,absolute,ar-direct,0.158992525239628
2022,pcpi_pch,0,rolling window,absolute,ar-direct,0.96903696010636
2023,pcpi_pch,0,rolling window,absolute,ar-direct,0.236047392481788
2013,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.298870423808659
2014,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.39817379484916
2015,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.304779416272587
2016,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.340790771116708
2017,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.348777785496312
2018,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.367111966714765
2019,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.354547783402759
2020,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.421081036101682
2021,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.469610616737232
2022,pcpi_pch,0.5,rolling window,absolute,ar-direct,1.47636336504653
2023,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.333157629778266
2013,pcpi_pch,1,rolling window,absolute,ar-direct,0.682301136862569
2014,pcpi_pch,1,rolling window,absolute,ar-direct,0.902843821204805
2015,pcpi_pch,1,rolling window,absolute,ar-direct,1.16022819786354
2016,pcpi_pch,1,rolling window,absolute,ar-direct,1.00954439846611
2017,pcpi_pch,1,rolling window,absolute,ar-direct,0.630308084694815
2018,pcpi_pch,1,rolling window,absolute,ar-direct,0.596184718550591
2019,pcpi_pch,1,rolling window,absolute,ar-direct,0.936863105999844
2020,pcpi_pch,1,rolling window,absolute,ar-direct,1.17625563963837
2021,pcpi_pch,1,rolling window,absolute,ar-direct,0.791493835873879
2022,pcpi_pch,1,rolling window,absolute,ar-direct,2.93562225720603
2023,pcpi_pch,1,rolling window,absolute,ar-direct,0.786561037533359
2013,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.41798763828963
2014,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.25380413977758
2015,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.79810129551039
2016,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.17856390878504
2017,pcpi_pch,1.5,rolling window,absolute,ar-direct,0.796304671663536
2018,pcpi_pch,1.5,rolling window,absolute,ar-direct,0.947488250625361
2019,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.20623842948521
2020,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.34678285151348
2021,pcpi_pch,1.5,rolling window,absolute,ar-direct,0.77794665546838
2022,pcpi_pch,1.5,rolling window,absolute,ar-direct,2.95628804891115
2023,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.31120170119624
2014,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.521878016529412
2015,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.454783390333316
2016,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.431083153917807
2017,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.554270247349114
2018,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.397645851764447
2019,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.40401146151499
2020,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,6.9967766910751
2021,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,5.51175039722531
2022,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,1.55754875574934
2023,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.646614643118211
2014,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.522456309599116
2015,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.458183579670634
2016,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.427744251581052
2017,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.553722598037469
2018,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.399350012431907
2019,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.403946045470804
2020,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,6.99194596385438
2021,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,5.53463350465188
2022,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,1.57884144671809
2023,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.646545258701882
2014,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.598431488180703
2015,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.47228484480091
2016,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.464918374098103
2017,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.556860435801495
2018,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.41092817123084
2019,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.427360710130172
2020,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,7.00691144826769
2021,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,3.28044237905045
2022,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,1.70487102557701
2023,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.675013664473673
2014,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.598371865020926
2015,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.472883425147491
2016,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.464843591836679
2017,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.55725610079566
2018,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.409985806626562
2019,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.427642029678708
2020,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,7.0016417709143
2021,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,3.28248205269661
2022,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,1.71264981219123
2023,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.679822571695645
2014,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.817066231251248
2015,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.885061180844193
