target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_10,coverage_20,coverage_30,coverage_40,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,qucoverage_5,qucoverage_10,qucoverage_15,qucoverage_20,qucoverage_25,qucoverage_30,qucoverage_35,qucoverage_40,qucoverage_45,qucoverage_55,qucoverage_60,qucoverage_65,qucoverage_70,qucoverage_75,qucoverage_80,qucoverage_85,qucoverage_90,qucoverage_95
2014,pcpi_pch,1,ar,0.914640368662345,0.50995879342826,2.47259225299422e-05,0.404656849311555,3.96233606383892,5.83018825933021,4.37363167371177,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.714285714285714,0.714285714285714,0.857142857142857,0.857142857142857,1,0,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.571428571428571,0.714285714285714,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1
2015,pcpi_pch,1,ar,1.1720022685143,0.508987132413818,0,0.663015136100479,5.0195666783876,6.31928332777434,5.22821325517239,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1
2016,pcpi_pch,1,ar,1.02133366482201,0.509644035078804,0,0.511689629743205,4.01310003781375,5.94691525746423,4.63830927837645,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.857142857142857,0.857142857142857,1,0,0.142857142857143,0.142857142857143,0.285714285714286,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1
2017,pcpi_pch,1,ar,0.642099762544301,0.509748282729495,0,0.132351479814806,2.94437896872873,5.53824089924985,3.50491484805171,0.142857142857143,0.142857142857143,0.571428571428571,0.714285714285714,0.857142857142857,1,1,1,1,0,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1
2018,pcpi_pch,1,ar,0.607924654501731,0.507511506575722,0.0262846221920336,0.0741285257339757,2.9020255601653,5.5139390906965,3.42248935653365,0.285714285714286,0.428571428571429,0.571428571428571,0.857142857142857,1,1,1,1,1,0,0,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1
2019,pcpi_pch,1,ar,0.948535890877613,0.504608599561895,0,0.443927291315718,3.82352371804797,5.48239999798076,4.35699364808715,0,0,0,0.428571428571429,0.571428571428571,0.714285714285714,0.857142857142857,1,1,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,1,1,1,1,1,1,1,1,1,1,1,1
2020,pcpi_pch,1,ar,1.1879093076102,0.503782185365432,0,0.684127122244765,4.71834592809752,6.54397910141241,5.28555675301483,0,0,0,0,0,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021,pcpi_pch,1,ar,0.802716610230319,0.485154871823912,0.309141823444637,0.00841991496176981,3.63569912529162,6.10604937923938,4.07245483125595,0,0.333333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
2022,pcpi_pch,1,ar,2.9467951856375,0.483000057642029,2.46379512799547,0,13.2039636392218,18.9240505119077,14.0953343085329,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2023,pcpi_pch,1,ar,0.797832648243194,0.487266042735762,0.212920181185329,0.0976464243221034,3.42798375555166,5.50329568181989,3.93787083461144,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,1,0,0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,1
2013,pcpi_pch,1.5,ar,1.43317916858889,0.656722188387951,0,0.776456980200939,5.90325450037478,7.13506215989566,6.21719939637637,0,0,0,0,0.142857142857143,0.428571428571429,1,1,1,0,0,0,0.571428571428571,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,pcpi_pch,1.5,ar,1.26896792906452,0.655522958424859,0.000326862067847158,0.613118108571809,5.25669692726483,7.12203293615088,5.78110012078206,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,0.857142857142857,1,1,0,0,0.142857142857143,0.285714285714286,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1
2015,pcpi_pch,1.5,ar,1.81321876367701,0.653520519769721,0,1.15969824390728,7.86626073725522,8.68703058568369,7.75811184153711,0,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,0.571428571428571,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,pcpi_pch,1.5,ar,1.19375098201998,0.656529511746978,0,0.537221470273004,4.85090735000177,7.19387822604938,5.55443157838436,0,0,0.285714285714286,0.285714285714286,0.571428571428571,0.857142857142857,0.857142857142857,0.857142857142857,1,0,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714,1,1,1,1,1,1,1,1,1,1,1
2017,pcpi_pch,1.5,ar,0.811495214492111,0.656679500528664,0.00226911275309415,0.152546601210353,3.75499012471441,7.13459837089193,4.49186786730598,0.285714285714286,0.285714285714286,0.714285714285714,0.714285714285714,1,1,1,1,1,0,0,0,0,0,0.285714285714286,0.285714285714286,0.714285714285714,0.714285714285714,1,1,1,1,1,1,1,1,1
2018,pcpi_pch,1.5,ar,0.962566382839988,0.651820046416076,0,0.310746336423913,4.07832817681564,7.08180206254488,4.84162678121066,0,0.142857142857143,0.285714285714286,0.714285714285714,0.857142857142857,1,1,1,1,0,0,0,0,0.142857142857143,0.285714285714286,0.714285714285714,0.857142857142857,1,1,1,1,1,1,1,1,1,1
2019,pcpi_pch,1.5,ar,1.22124439023105,0.648700110241904,0,0.572544279989147,4.51619929525758,7.0479050221658,5.51584252258941,0,0,0,0,0.285714285714286,0.857142857142857,1,1,1,0,0,0,0.142857142857143,0.714285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1
2020,pcpi_pch,1.5,ar,1.36177487993624,0.648097822946058,0,0.713677056990179,5.54464626458081,7.04136137651173,6.01998812368123,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,1,1,0,0,0.285714285714286,0.285714285714286,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1
2021,pcpi_pch,1.5,ar,0.792524269993289,0.63018291927718,0.118463136038224,0.0438782146778848,3.6901945508854,6.84672207008026,4.3513917587981,0.166666666666667,0.5,0.666666666666667,0.666666666666667,0.833333333333333,1,1,1,1,0,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,1,1,1,1
2022,pcpi_pch,1.5,ar,2.97082302560403,0.628339707315966,2.34248331828806,0,13.2805124967054,16.6736658561688,13.8630354294329,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666666666667
2023,pcpi_pch,1.5,ar,1.32574079388853,0.628517639893475,0.461137132460186,0.23608602153487,5.68499122724971,8.88955144543023,6.43215089088806,0,0,0.333333333333333,0.5,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
