model,error_method,method,country,target,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_10,coverage_20,coverage_40,coverage_50,coverage_60,coverage_80,coverage_90
bvar,directional,rolling window,DEU,ngdp_rpch,1,,,,0.571868085456915,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
bvar,directional,rolling window,DEU,ngdp_rpch,1.5,,,,0.637585110793108,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
bvar,directional,rolling window,DEU,pcpi_pch,0,,,,0.012484584195902,,,,0.0833333333333333,,,,0.666666666666667,,1
bvar,directional,rolling window,DEU,pcpi_pch,0.5,,,,0.026484477354352,,-0.258333333333333,,0,,,,0.5,,0.916666666666667
bvar,directional,rolling window,DEU,pcpi_pch,1,,,,0.0941208611417407,,-0.216666666666667,,0,,,,0.5,,0.666666666666667
bvar,directional,rolling window,DEU,pcpi_pch,1.5,,,,0.0506087417798093,,-0.4,,0,,,,0.416666666666667,,0.75
bvar,directional,rolling window,FRA,ngdp_rpch,0,,,,0.0498921477007816,,,,0.0833333333333333,,,,0.416666666666667,,0.916666666666667
bvar,directional,rolling window,FRA,ngdp_rpch,0.5,,,,0.173106121881539,,0.283333333333333,,0,,,,0.416666666666667,,0.75
bvar,directional,rolling window,FRA,ngdp_rpch,1,,,,0.409051738582416,,,,0.166666666666667,,,,0.583333333333333,,0.833333333333333
bvar,directional,rolling window,FRA,ngdp_rpch,1.5,,,,0.518510091922438,,,,0.0833333333333333,,,,0.75,,0.833333333333333
bvar,directional,rolling window,FRA,pcpi_pch,0,,,,0.00328707299551574,,-0.591666666666667,,0,,,,0.333333333333333,,0.583333333333333
bvar,directional,rolling window,FRA,pcpi_pch,0.5,,,,0.0437705923561357,,-0.216666666666667,,0,,,,0.333333333333333,,0.666666666666667
bvar,directional,rolling window,FRA,pcpi_pch,1,,,,0.133085690450404,,-0.308333333333333,,0,,,,0.5,,0.75
bvar,directional,rolling window,FRA,pcpi_pch,1.5,,,,0.131109087138345,,,,0.0833333333333333,,,,0.25,,0.583333333333333
bvar,directional,rolling window,GBR,ngdp_rpch,0,,,,0.0938702055774334,,,,0.166666666666667,,,,0.416666666666667,,0.833333333333333
bvar,directional,rolling window,GBR,ngdp_rpch,0.5,,,,0.156166434313411,,,,0.0833333333333333,,,,0.5,,0.666666666666667
bvar,directional,rolling window,GBR,ngdp_rpch,1,,,,0.633798603980142,,0.158333333333333,,0,,,,0.5,,0.75
bvar,directional,rolling window,GBR,ngdp_rpch,1.5,,,,0.820248376935527,,,,0.0833333333333333,,,,0.5,,0.833333333333333
bvar,directional,rolling window,GBR,pcpi_pch,0,,,,0.0769550787050046,,,,0.0833333333333333,,,,0.333333333333333,,0.583333333333333
bvar,directional,rolling window,GBR,pcpi_pch,0.5,,,,0.0301592148088588,,,,0.0833333333333333,,,,0.583333333333333,,0.916666666666667
bvar,directional,rolling window,GBR,pcpi_pch,1,,,,0.102264886007274,,-0.491666666666667,,0,,,,0.333333333333333,,0.416666666666667
bvar,directional,rolling window,GBR,pcpi_pch,1.5,,,,0.00574021049454375,,,,0.0833333333333333,,,,0.25,,0.5
bvar,directional,rolling window,ITA,ngdp_rpch,0,,,,0.126903128076268,,,,0.0833333333333333,,,,0.416666666666667,,0.666666666666667
bvar,directional,rolling window,ITA,ngdp_rpch,0.5,,,,0.297516259885762,,-0.175,,0,,,,0.583333333333333,,0.666666666666667
bvar,directional,rolling window,ITA,ngdp_rpch,1,,,,0.539625124157927,,,,0.0833333333333333,,,,0.666666666666667,,0.833333333333333
bvar,directional,rolling window,ITA,ngdp_rpch,1.5,,,,0.80095244583819,,,,0.166666666666667,,,,0.333333333333333,,0.75
bvar,directional,rolling window,ITA,pcpi_pch,0,,,,0.0125007619301326,,,,0.166666666666667,,,,0.5,,0.833333333333333
bvar,directional,rolling window,ITA,pcpi_pch,0.5,,,,0.00361211073443466,,,,0.0833333333333333,,,,0.416666666666667,,0.583333333333333
bvar,directional,rolling window,ITA,pcpi_pch,1,,,,0.187549703547192,,,,0.0833333333333333,,,,0.416666666666667,,0.833333333333333
bvar,directional,rolling window,ITA,pcpi_pch,1.5,,,,0.139110086842923,,-0.741666666666667,,0,,,,0.0833333333333333,,0.666666666666667
bvar,directional,rolling window,JPN,ngdp_rpch,0,,,,0.118722700708472,,-0.283333333333333,,0,,,,0.416666666666667,,0.75
bvar,directional,rolling window,JPN,ngdp_rpch,0.5,,,,0.205121283996517,,-0.166666666666667,,0,,,,0.5,,0.666666666666667
bvar,directional,rolling window,JPN,ngdp_rpch,1,,,,0.465975792722663,,-0.241666666666667,,0,,,,0.333333333333333,,0.416666666666667
bvar,directional,rolling window,JPN,ngdp_rpch,1.5,,,,0.351997223166685,,-0.375,,0,,,,0.333333333333333,,0.583333333333333
bvar,directional,rolling window,JPN,pcpi_pch,0,,,,0.0515136762932041,,0.233333333333333,,0,,,,0.25,,0.916666666666667
bvar,directional,rolling window,JPN,pcpi_pch,0.5,,,,0.119128141175643,,-0.216666666666667,,0,,,,0.416666666666667,,0.75
bvar,directional,rolling window,JPN,pcpi_pch,1,,,,0.100654733321035,,,,0.0833333333333333,,,,0.5,,0.833333333333333
bvar,directional,rolling window,JPN,pcpi_pch,1.5,,,,0.058254565576651,,-0.516666666666667,,0,,,,0.25,,0.583333333333333
bvar,directional,rolling window,USA,ngdp_rpch,0,,,,0.00897759944011564,,,,0.0833333333333333,,,,0.666666666666667,,0.916666666666667
bvar,directional,rolling window,USA,ngdp_rpch,0.5,,,,0.138555912076354,,,,0.166666666666667,,,,0.416666666666667,,0.916666666666667
bvar,directional,rolling window,USA,ngdp_rpch,1,,,,0.68201185724725,,,,0.166666666666667,,,,0.583333333333333,,0.666666666666667
bvar,directional,rolling window,USA,ngdp_rpch,1.5,,,,0.768030346307155,,,,0.0833333333333333,,,,0.583333333333333,,0.75
bvar,directional,rolling window,USA,pcpi_pch,0,,,,0.109746675583672,,0.325,,0,,,,0.166666666666667,,0.583333333333333
bvar,directional,rolling window,USA,pcpi_pch,0.5,,,,0.116448320854854,,,,0.0833333333333333,,,,0.166666666666667,,0.583333333333333
bvar,directional,rolling window,USA,pcpi_pch,1,,,,0.47111464068987,,-0.225,,0,,,,0.416666666666667,,0.5
bvar,directional,rolling window,USA,pcpi_pch,1.5,,,,0.318822922820636,,-0.258333333333333,,0,,,,0.25,,0.833333333333333
