target_year,target,horizon,method,error_method,source,score
2022,ngdp_rpch,0,rolling window,absolute,ar-direct,0.159951095110219
2023,ngdp_rpch,0,rolling window,absolute,ar-direct,0.154651795016414
2013,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.44496835368975
2014,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.651491325992616
2015,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.500823368696277
2016,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.501937445965068
2017,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.433893214426525
2018,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.441926395295356
2019,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.473620569927879
2020,ngdp_rpch,0.5,rolling window,absolute,ar-direct,2.78504481490837
2021,ngdp_rpch,0.5,rolling window,absolute,ar-direct,1.50048659385153
2022,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.548938394266488
2023,ngdp_rpch,0.5,rolling window,absolute,ar-direct,0.574371717459987
2013,ngdp_rpch,1,rolling window,absolute,ar-direct,1.00057895516666
2014,ngdp_rpch,1,rolling window,absolute,ar-direct,1.01199773317876
2015,ngdp_rpch,1,rolling window,absolute,ar-direct,0.97551773421016
2016,ngdp_rpch,1,rolling window,absolute,ar-direct,0.854760262006895
2017,ngdp_rpch,1,rolling window,absolute,ar-direct,0.782990084692804
2018,ngdp_rpch,1,rolling window,absolute,ar-direct,0.880943522416359
2019,ngdp_rpch,1,rolling window,absolute,ar-direct,0.822747498268202
2020,ngdp_rpch,1,rolling window,absolute,ar-direct,6.87380903730823
2021,ngdp_rpch,1,rolling window,absolute,ar-direct,1.98863958651902
2022,ngdp_rpch,1,rolling window,absolute,ar-direct,0.899335626433705
2023,ngdp_rpch,1,rolling window,absolute,ar-direct,1.03094316343964
2013,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.26444542545525
2014,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.09367467581001
2015,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.02561839955159
2016,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.05163394919215
2017,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.871158270194645
2018,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.946179525858515
2019,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.997076460467325
2020,ngdp_rpch,1.5,rolling window,absolute,ar-direct,7.01854289209345
2021,ngdp_rpch,1.5,rolling window,absolute,ar-direct,3.82441369109336
2022,ngdp_rpch,1.5,rolling window,absolute,ar-direct,0.98326269056338
2023,ngdp_rpch,1.5,rolling window,absolute,ar-direct,1.13512878119411
2013,pcpi_pch,0,rolling window,absolute,ar-direct,0.115962727883383
2014,pcpi_pch,0,rolling window,absolute,ar-direct,0.130691895015519
2015,pcpi_pch,0,rolling window,absolute,ar-direct,0.131044814538216
2016,pcpi_pch,0,rolling window,absolute,ar-direct,0.108294770091485
2017,pcpi_pch,0,rolling window,absolute,ar-direct,0.112317422516407
2018,pcpi_pch,0,rolling window,absolute,ar-direct,0.121255259478752
2019,pcpi_pch,0,rolling window,absolute,ar-direct,0.11526656002095
2020,pcpi_pch,0,rolling window,absolute,ar-direct,0.107488520329586
2021,pcpi_pch,0,rolling window,absolute,ar-direct,0.0986521872660489
2022,pcpi_pch,0,rolling window,absolute,ar-direct,0.158610308948018
2023,pcpi_pch,0,rolling window,absolute,ar-direct,0.11653021082348
2013,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.418700479494522
2014,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.442320891891128
2015,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.430079232125164
2016,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.448095862125976
2017,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.45468117798782
2018,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.432052719412312
2019,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.467116430315869
2020,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.464677169239219
2021,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.49503644572458
2022,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.770327075681438
2023,pcpi_pch,0.5,rolling window,absolute,ar-direct,0.394964674457095
2013,pcpi_pch,1,rolling window,absolute,ar-direct,0.922008730278385
2014,pcpi_pch,1,rolling window,absolute,ar-direct,1.02087343413344
2015,pcpi_pch,1,rolling window,absolute,ar-direct,1.11786081761113
2016,pcpi_pch,1,rolling window,absolute,ar-direct,1.01622459322022
2017,pcpi_pch,1,rolling window,absolute,ar-direct,0.910880642888963
2018,pcpi_pch,1,rolling window,absolute,ar-direct,0.896282077601299
2019,pcpi_pch,1,rolling window,absolute,ar-direct,0.996900467751055
2020,pcpi_pch,1,rolling window,absolute,ar-direct,1.18828523207382
2021,pcpi_pch,1,rolling window,absolute,ar-direct,0.966221633134291
2022,pcpi_pch,1,rolling window,absolute,ar-direct,1.95190078733782
2023,pcpi_pch,1,rolling window,absolute,ar-direct,0.946685132056622
2013,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.44469889926608
2014,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.3279576716463
2015,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.6715166168743
2016,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.25630423573227
2017,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.1499730465647
2018,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.19337480886366
2019,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.2412705840075
2020,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.37796619934812
2021,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.1049932936087
2022,pcpi_pch,1.5,rolling window,absolute,ar-direct,2.08894179426804
2023,pcpi_pch,1.5,rolling window,absolute,ar-direct,1.44692509544227
2014,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.720083943808813
2015,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.727898346443449
2016,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.673473875616925
2017,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.730189766347629
2018,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.652691344658124
2019,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.64428355913848
2020,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,6.04788842795836
2021,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,6.65684313351228
2022,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,1.7127531748764
2023,ngdp_rpch,0,rolling window,absolute,ar_annual-direct,0.919985501065973
2014,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.72004558937667
2015,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.729261436994129
2016,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.673257793555689
2017,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.729688799602573
