target_year,target,horizon,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2023,ngdp_rpch,0.5,arx_annual,0.725325622312698,0.46142326638957,0.223829820943014,0.0400725349801137,3.98829921025814,4.5357644206086,4.26203181543337,0.4,0.7,0.1,0.1,0.5,0.8
2013,ngdp_rpch,1,arx_annual,0.900662681890209,0.612537995119314,0.199320547791144,0.08880413897975,4.30115165006854,7.26037451263282,5.78076308135068,0.5,0.8,0.1,0.4,0.9,0.9
2014,ngdp_rpch,1,arx_annual,0.946849367425125,0.61448407163618,0.205496587593147,0.126868708195799,4.7485630649704,7.06557968607652,5.90707137552346,0.5,0.8,0.1,0.2,0.7,0.9
2015,ngdp_rpch,1,arx_annual,1.50852489136874,0.609435758798759,0.157143763436481,0.741945369133503,7.47081245590336,11.4934666876165,9.48213957175991,0.4,0.6,0.3,0.4,0.8,0.9
2016,ngdp_rpch,1,arx_annual,1.01630120593477,0.604742467985584,0.085404638613058,0.326154099336132,4.98661461028287,7.85948759298833,6.4230511016356,0.6,0.7,0.2,0.2,0.8,0.9
2017,ngdp_rpch,1,arx_annual,0.912935488184895,0.610744565055834,0.214364443701716,0.0878264794273455,4.48957627046645,7.03476908753178,5.76217267899911,0.6,0.7,0.1,0.2,0.8,0.8
2018,ngdp_rpch,1,arx_annual,0.754963079438537,0.603250652440693,0.0532135811665425,0.0984988458313016,3.75161011305247,5.72023630613956,4.73592320959602,0.6,0.9,0.1,0.1,0.7,1
2019,ngdp_rpch,1,arx_annual,0.86333567782521,0.59819809893769,0,0.26513757888752,4.27463580726723,6.58012403833613,5.42737992280168,0.7,0.8,0.2,0.3,1,1
2020,ngdp_rpch,1,arx_annual,5.43652966578233,0.590699086650043,0,4.84583057913229,24.4848620169836,47.5184382731877,36.0016501450856,0,0,1,1,1,1
2021,ngdp_rpch,1,arx_annual,3.18553956100895,0.585803911402243,0.867803893986745,1.73193175561996,14.8134425289226,26.6771848978726,20.7453137133976,0.2,0.3,0.3,0.3,0.5,0.6
2022,ngdp_rpch,1,arx_annual,1.81303809497988,0.703497103785935,0.0975150213337095,1.01202596986023,8.97688809724681,13.8185416564805,11.3977148768636,0.5,0.7,0.2,0.4,0.9,0.9
2023,ngdp_rpch,1,arx_annual,1.33663692546292,0.709264683793915,0.627372241669003,0,6.96076332508971,9.33083019653409,8.1457967608119,0.5,0.7,0,0,0.5,0.7
2013,ngdp_rpch,1.5,arx_annual,0.718683222086209,0.642239014289395,0,0.0764442077968147,3.51099983879189,5.59616484474446,4.55358234176818,0.7,0.9,0.1,0.3,1,1
2014,ngdp_rpch,1.5,arx_annual,0.696244153671418,0.642130679875961,0.0181583135948445,0.0359551602006124,3.35166291519804,5.54572578543324,4.44869435031564,0.6,1,0,0.3,0.9,1
2015,ngdp_rpch,1.5,arx_annual,1.85720894709374,0.630871601790715,0.353810058147084,0.872527287155943,8.94622468785205,14.7786172222447,11.8624209550484,0.5,0.6,0.3,0.3,0.8,0.9
2016,ngdp_rpch,1.5,arx_annual,1.80961715740537,0.621352030149486,0.285218961900232,0.903046165355649,8.3410930065001,15.3396106318571,11.8403518191786,0.6,0.6,0.2,0.2,0.8,0.8
2017,ngdp_rpch,1.5,arx_annual,1.06135009957747,0.6372039248773,0.128707502863243,0.295438671836932,5.46575687560498,7.56260980253704,6.51418333907101,0.5,0.7,0.2,0.3,0.8,0.9
2018,ngdp_rpch,1.5,arx_annual,0.929083216737736,0.6434591474905,0.122560848683637,0.163063220563599,4.63988693454933,6.9819469983814,5.81091696646536,0.6,0.8,0.1,0.1,0.7,0.9
2019,ngdp_rpch,1.5,arx_annual,0.902911659881044,0.637467215999839,0,0.265444443881206,4.54888384895469,6.68602357523417,5.61745371209443,0.6,0.8,0.2,0.4,1,1
2020,ngdp_rpch,1.5,arx_annual,5.62808212472392,0.63097279942449,0,4.99710932529943,25.3009656926462,49.3092282628629,37.3050969777546,0,0.2,0.8,1,1,1
2021,ngdp_rpch,1.5,arx_annual,2.68115442558834,0.625425973065693,1.43669379811084,0.6190346544118,12.3906280485272,22.6465183904488,17.518573219488,0.3,0.4,0.3,0.3,0.6,0.7
2022,ngdp_rpch,1.5,arx_annual,1.72801296675697,0.742406379279391,0.547935087466318,0.437671500011264,8.67672549722037,12.8684455920885,10.7725855446544,0.3,0.7,0.1,0.2,0.5,0.8
2023,ngdp_rpch,1.5,arx_annual,1.01721841783036,0.738845880259293,0.0319159922481475,0.246456545322917,4.85014948161833,8.21899465256133,6.53457206708983,0.7,0.9,0.1,0.1,0.8,1
2013,pcpi_pch,0,arx_annual,0.290823028471798,0.211466167733285,0.00922236732492401,0.070134493413589,1.57238224948378,1.88550494572652,1.72894359760515,0.6,0.9,0.1,0.3,0.9,1
2014,pcpi_pch,0,arx_annual,0.277844169179293,0.209183068740985,0,0.068661100438308,1.49450733142914,1.820615055013,1.65756119322107,0.7,0.9,0.1,0.3,1,1
2015,pcpi_pch,0,arx_annual,0.245710727801272,0.206768883795801,0.00687145472521999,0.0320703892802508,1.19739395482694,1.92072966895808,1.55906181189251,0.7,0.8,0.2,0.2,0.9,1
2016,pcpi_pch,0,arx_annual,0.23686481568858,0.203514088116542,0.0138632419426311,0.019487485629407,1.17628234131004,1.79659046049652,1.48643640090328,0.6,0.9,0,0.3,0.9,0.9
2017,pcpi_pch,0,arx_annual,0.274479225221668,0.200776923682179,0.0081369625449745,0.0655653389945145,1.31569841530109,2.20033846618065,1.75801844074087,0.7,0.9,0.1,0.2,0.9,1
2018,pcpi_pch,0,arx_annual,0.220829041938007,0.199128934854451,0.00455887060649151,0.0171412364770645,1.07872596176623,1.71976593434455,1.39924594805539,0.7,1,0,0.2,0.9,1
2019,pcpi_pch,0,arx_annual,0.220609807937348,0.196310627401,0.0195427477841945,0.00475643275215303,1.08670815178429,1.69542577928624,1.39106696553526,0.7,1,0,0.1,0.8,1
2020,pcpi_pch,0,arx_annual,0.198605582349583,0.19401270490272,0.00382209420608492,0.000770783240777251,0.918612698854485,1.67557989985544,1.29709629935496,0.6,1,0,0.1,0.7,1
2021,pcpi_pch,0,arx_annual,0.380057310346147,0.191255302363546,0.188802007982601,0,1.88078020126513,2.89919570376012,2.38998795251262,0.3,0.6,0,0,0.3,0.6
2022,pcpi_pch,0,arx_annual,0.333830663787636,0.191903178872242,0.058130900850708,0.0837965840646864,1.63815417316945,2.5812278428291,2.10969100799927,0.5,0.7,0.2,0.4,0.9,0.9
2023,pcpi_pch,0,arx_annual,0.243249491601728,0.190535503104035,0.026176594702135,0.0265373937955585,1.22578760933248,1.80052080870336,1.51315420901792,0.6,0.9,0.1,0.1,0.7,1
