target_year,target,horizon,method,error_method,model,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
2019,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.316204741689517,0.177282815932902,0.138921925756615,0,1.50874947256753,2.55222115237152,2.03048531246952,0.714285714285714,0.714285714285714,0,0,0.714285714285714,0.714285714285714
2020,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.409416339249899,0.168791921405774,0.174321287087195,0.0663031307569306,2.15882001441265,2.79127674896637,2.47504838168951,0.285714285714286,0.571428571428571,0.142857142857143,0.428571428571429,0.714285714285714,0.714285714285714
2021,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.408988537526632,0.161955602643023,0.231455888291482,0.0155770465921275,1.94235312457128,3.32388793910445,2.63312053183787,0.5,0.666666666666667,0,0.166666666666667,0.666666666666667,0.666666666666667
2022,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.72198040722468,0.166929289317712,0.544582117353464,0.0104690005535042,3.29202203378698,6.20955306002614,4.75078754690656,0.333333333333333,0.666666666666667,0,0.166666666666667,0.5,0.666666666666667
2023,pcpi_pch,0.5,rolling window,absolute,bvar_const,0.220385840330132,0.172152382707151,0.0264058997300191,0.0218275578929616,1.20702381445086,1.39015727047548,1.29859054246317,0.5,0.833333333333333,0,0.333333333333333,0.833333333333333,0.833333333333333
2013,pcpi_pch,1,rolling window,absolute,bvar_const,0.46808340740983,0.418831937483148,0,0.0492514699266819,2.45834477048599,3.21580622198162,2.83707549623381,0.428571428571429,1,0,0.571428571428571,1,1
2014,pcpi_pch,1,rolling window,absolute,bvar_const,0.744098131101538,0.410170960678223,0,0.333927170423315,3.79417549986856,5.39652387235935,4.59534968611396,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,1,1
2015,pcpi_pch,1,rolling window,absolute,bvar_const,0.858781631893893,0.401626101975851,0,0.457155529918042,4.46695040478202,6.00825662592281,5.23760351535242,0,0.571428571428571,0.428571428571429,1,1,1
2016,pcpi_pch,1,rolling window,absolute,bvar_const,0.668127717451198,0.405016765067894,0,0.263110952383304,3.82701535494071,3.79501596167218,3.81101565830645,0.285714285714286,0.571428571428571,0.428571428571429,0.714285714285714,1,1
2017,pcpi_pch,1,rolling window,absolute,bvar_const,0.471220728495881,0.424834977714975,0,0.0463857507809057,2.44909834965215,3.30166869578724,2.87538352271969,0.571428571428571,1,0,0.428571428571429,1,1
2018,pcpi_pch,1,rolling window,absolute,bvar_const,0.445015865035313,0.437485200044786,0.00500276075087572,0.00252790423965072,2.27723460165479,3.20723079656928,2.74223269911203,0.714285714285714,1,0,0.142857142857143,0.857142857142857,1
2019,pcpi_pch,1,rolling window,absolute,bvar_const,0.656139133230939,0.425421263343654,0,0.230717869887286,3.60889214838397,4.10055229365887,3.85472222102142,0.285714285714286,0.714285714285714,0.285714285714286,0.714285714285714,1,1
2020,pcpi_pch,1,rolling window,absolute,bvar_const,0.903925489429536,0.416894691559665,0,0.487030797869871,4.88836692515563,5.85759247570166,5.37297970042864,0.142857142857143,0.428571428571429,0.571428571428571,0.857142857142857,1,1
2021,pcpi_pch,1,rolling window,absolute,bvar_const,0.636173376787785,0.426086335889015,0.0215774786186117,0.188509562280158,3.38691179310543,4.25618805299212,3.82154992304877,0.166666666666667,0.833333333333333,0.166666666666667,0.5,0.666666666666667,1
2022,pcpi_pch,1,rolling window,absolute,bvar_const,2.05844211192771,0.408886115157323,1.64955599677039,0,9.64914882984316,17.0459701639463,13.3475594968948,0,0,0,0,0,0
2023,pcpi_pch,1,rolling window,absolute,bvar_const,0.51087303334624,0.442265873967634,0.0163670483913525,0.0522401109872534,2.79522645221929,3.22939453637656,3.01231049429793,0.666666666666667,1,0,0.166666666666667,0.833333333333333,1
2013,pcpi_pch,1.5,rolling window,absolute,bvar_const,1.0332518081201,0.675422470988174,0,0.35782933713193,5.41876413326878,7.11812582923013,6.26844498124946,0.142857142857143,0.571428571428571,0.428571428571429,0.857142857142857,1,1
2014,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.812810098236679,0.657817367744448,0,0.154992730492231,4.60662957727499,4.73962802154611,4.67312879941055,0.428571428571429,1,0,0.571428571428571,1,1
2015,pcpi_pch,1.5,rolling window,absolute,bvar_const,1.41350426462114,0.645480421517885,0,0.768023843103254,7.48200055416143,9.56508390701921,8.52354223059032,0.142857142857143,0.142857142857143,0.857142857142857,0.857142857142857,1,1
2016,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.735631445354919,0.638309912707369,0,0.0973215326475503,3.97344512258893,4.77901610062605,4.37623061160749,0.285714285714286,0.857142857142857,0.142857142857143,0.714285714285714,1,1
2017,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.630978586973282,0.625414135938167,0,0.00556445103511427,3.18205723608534,4.66442864925228,3.92324294266881,0.857142857142857,1,0,0.142857142857143,1,1
2018,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.792752126654716,0.62566460897067,0,0.167087517684046,4.00480089424003,5.84304029749425,4.92392059586714,0.571428571428571,0.857142857142857,0.142857142857143,0.428571428571429,1,1
2019,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.80208380864211,0.610990393884092,0,0.191093414758018,4.41479352492814,5.00469236052185,4.70974294272499,0.285714285714286,0.857142857142857,0.142857142857143,0.714285714285714,1,1
2020,pcpi_pch,1.5,rolling window,absolute,bvar_const,0.903510214903318,0.625851440994313,0,0.277658773909006,5.12370946545312,5.26093063443358,5.19232004994335,0.142857142857143,0.714285714285714,0.285714285714286,0.857142857142857,1,1
2021,pcpi_pch,1.5,rolling window,absolute,bvar_const,1.3140765615458,0.672447344466529,0.641629217079271,0,6.43160802832448,10.2025111601048,8.31705959421464,0.666666666666667,0.666666666666667,0,0,0.666666666666667,0.666666666666667
2022,pcpi_pch,1.5,rolling window,absolute,bvar_const,1.8818789566749,0.655263699232212,1.22661525744268,0,9.30854016429422,14.3662287227624,11.8373844435283,0,0,0,0,0,0
2023,pcpi_pch,1.5,rolling window,absolute,bvar_const,1.11612201475644,0.667740830138588,0.223801875563,0.224579309054848,5.64362940942802,8.21336677155866,6.92849809049334,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.833333333333333
2013,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0512044378471434,0.0465608747853992,0.00282479916462421,0.00181876389712001,0.260509386667671,0.37281529027369,0.316662338470681,0.714285714285714,1,0,0.142857142857143,0.857142857142857,1
2014,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0567994447478264,0.0444533442456971,0,0.0123461005021293,0.285435388016364,0.422400424915619,0.353917906465991,0.714285714285714,0.714285714285714,0.285714285714286,0.285714285714286,1,1
2015,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0527023562806729,0.0450116392807084,0,0.00769071699996448,0.270717220991764,0.377254073134048,0.323985647062906,0.714285714285714,0.857142857142857,0.142857142857143,0.285714285714286,1,1
2016,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0456182345716342,0.0456182345716342,0,0,0.217600053027541,0.368364558863831,0.292982305945686,1,1,0,0,1,1
2017,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0465469855592562,0.0452408280470312,0.00130615751222501,0,0.225030060928517,0.368364558863831,0.296697309896174,0.857142857142857,1,0,0,0.857142857142857,1
2018,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.0527368178346392,0.0401901523435706,0.00202292263792136,0.0105237428531472,0.274799176815845,0.36773841465317,0.321268795734508,0.428571428571429,0.857142857142857,0.142857142857143,0.428571428571429,0.857142857142857,1
2019,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.15491392888222,0.0382648329774405,0,0.116649095904779,0.763151340089658,1.19040022742025,0.976775783754954,0.428571428571429,0.428571428571429,0.571428571428571,0.571428571428571,1,1
2020,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.586018660675365,0.0389294069614773,0.543783390004196,0.00330586370969144,2.43688363603064,5.62816412343068,4.03252387973066,0.142857142857143,0.428571428571429,0,0.142857142857143,0.285714285714286,0.428571428571429
2021,ngdp_rpch,0,rolling window,absolute,bvar_mix,0.130149591862321,0.0385725580735064,0.0883332512807193,0.00324378250809498,0.644794287176414,0.991006119305377,0.817900203240896,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0.333333333333333
