country,target,target_year,forecast_season,horizon,forecast_year,prediction,tv_0.5,tv_1,tv_1.5,tv_2
CAN,pcpi_pch,2013,F,0,2013,1.14597712094762,0.958904109588499,0.958904109588499,0.951989589753865,0.951989589753865
CAN,pcpi_pch,2014,S,1.5,2013,1.80659536932475,1.89959294436879,1.89959294436879,1.92046688382166,1.92046688382166
CAN,pcpi_pch,2014,F,1,2013,1.64292796635188,1.89959294436879,1.89959294436879,1.92046688382166,1.92046688382166
CAN,pcpi_pch,2014,S,0.5,2014,1.46400358003393,1.89959294436879,1.89959294436879,1.92046688382166,1.92046688382166
CAN,pcpi_pch,2014,F,0,2014,1.93595035364857,1.89959294436879,1.89959294436879,1.92046688382166,1.92046688382166
CAN,pcpi_pch,2015,S,1.5,2014,1.89794664118146,1.10526666222837,1.10526666222837,1.13189959384805,1.13189959384805
CAN,pcpi_pch,2015,F,1,2014,1.95513831061374,1.10526666222837,1.10526666222837,1.13189959384805,1.13189959384805
CAN,pcpi_pch,2015,S,0.5,2015,0.861748608895607,1.10526666222837,1.10526666222837,1.13189959384805,1.13189959384805
CAN,pcpi_pch,2015,F,0,2015,0.996929389764856,1.10526666222837,1.10526666222837,1.13189959384805,1.13189959384805
CAN,pcpi_pch,2016,S,1.5,2015,1.9555852361093,1.40891434590795,1.40891434590795,1.42226904589451,1.42226904589451
CAN,pcpi_pch,2016,F,1,2015,1.60624886613732,1.40891434590795,1.40891434590795,1.42226904589451,1.42226904589451
CAN,pcpi_pch,2016,S,0.5,2016,1.34742733904194,1.40891434590795,1.40891434590795,1.42226904589451,1.42226904589451
CAN,pcpi_pch,2016,F,0,2016,1.6213393128403,1.40891434590795,1.40891434590795,1.42226904589451,1.42226904589451
CAN,pcpi_pch,2017,S,1.5,2016,1.88056227767026,1.6100759592282,1.6100759592282,1.60337552742666,1.60337552742666
CAN,pcpi_pch,2017,F,1,2016,2.06723461080021,1.6100759592282,1.6100759592282,1.60337552742666,1.60337552742666
CAN,pcpi_pch,2017,S,0.5,2017,1.97179134396859,1.6100759592282,1.6100759592282,1.60337552742666,1.60337552742666
CAN,pcpi_pch,2017,F,0,2017,1.60345984100552,1.6100759592282,1.6100759592282,1.60337552742666,1.60337552742666
CAN,pcpi_pch,2018,S,1.5,2017,2.09839963444063,2.24252491694275,2.24252491694275,2.26822567248073,2.26822567248073
CAN,pcpi_pch,2018,F,1,2017,1.78758120401781,2.24252491694275,2.24252491694275,2.26822567248073,2.26822567248073
CAN,pcpi_pch,2018,S,0.5,2018,2.15070147257197,2.24252491694275,2.24252491694275,2.26822567248073,2.26822567248073
CAN,pcpi_pch,2018,F,0,2018,2.56836987799731,2.24252491694275,2.24252491694275,2.26822567248073,2.26822567248073
CAN,pcpi_pch,2019,S,1.5,2018,2.16219381067517,1.94926902411596,1.94926902411596,1.94926902411596,1.94926902411596
CAN,pcpi_pch,2019,F,1,2018,2.22638738015912,1.94926902411596,1.94926902411596,1.94926902411596,1.94926902411596
CAN,pcpi_pch,2019,S,0.5,2019,1.69254280527951,1.94926902411596,1.94926902411596,1.94926902411596,1.94926902411596
CAN,pcpi_pch,2019,F,0,2019,2.01327426888733,1.94926902411596,1.94926902411596,1.94926902411596,1.94926902411596
CAN,pcpi_pch,2020,S,1.5,2019,1.92866243701917,0.716999632307869,0.716999632307869,0.716999632307869,0.716999632307869
CAN,pcpi_pch,2020,F,1,2019,2.02696644348777,0.716999632307869,0.716999632307869,0.716999632307869,0.716999632307869
CAN,pcpi_pch,2020,S,0.5,2020,0.610467294263994,0.716999632307869,0.716999632307869,0.716999632307869,0.716999632307869
CAN,pcpi_pch,2020,F,0,2020,0.616002459846787,0.716999632307869,0.716999632307869,0.716999632307869,0.716999632307869
CAN,pcpi_pch,2021,S,1.5,2020,1.26085388904433,3.39519318527535,3.39519318527535,3.40127776087666,3.40127776087666
CAN,pcpi_pch,2021,F,1,2020,1.26767182443679,3.39519318527535,3.39519318527535,3.40127776087666,3.40127776087666
CAN,pcpi_pch,2021,S,0.5,2021,1.6932278955534,3.39519318527535,3.39519318527535,3.40127776087666,3.40127776087666
CAN,pcpi_pch,2021,F,0,2021,3.15216265299885,3.39519318527535,3.39519318527535,3.40127776087666,3.40127776087666
CAN,pcpi_pch,2022,S,1.5,2021,1.99992665814555,6.79651641755912,6.79651641755912,6.80280115341658,6.80280115341658
CAN,pcpi_pch,2022,F,1,2021,2.63737521674188,6.79651641755912,6.79651641755912,6.80280115341658,6.80280115341658
CAN,pcpi_pch,2022,S,0.5,2022,5.63726787323957,6.79651641755912,6.79651641755912,6.80280115341658,6.80280115341658
CAN,pcpi_pch,2022,F,0,2022,6.89724461197294,6.79651641755912,6.79651641755912,6.80280115341658,6.80280115341658
CAN,pcpi_pch,2023,S,1.5,2022,2.36848892603156,3.87900159788375,3.87900159788375,,
CAN,pcpi_pch,2023,F,1,2022,4.1992923554854,3.87900159788375,3.87900159788375,,
CAN,pcpi_pch,2023,S,0.5,2023,3.8990209221998,3.87900159788375,3.87900159788375,,
CAN,pcpi_pch,2023,F,0,2023,3.62206654600981,3.87900159788375,3.87900159788375,,
CAN,pcpi_pch,2024,S,1.5,2023,2.38514817358868,,,,
CAN,pcpi_pch,2024,F,1,2023,2.43231375635082,,,,
CAN,pcpi_pch,2024,S,0.5,2024,2.6060205122928,,,,
CAN,pcpi_pch,2024,F,0,2024,2.43931175105141,,,,
CAN,pcpi_pch,2025,S,1.5,2024,1.85379387622673,,,,
CAN,pcpi_pch,2025,F,1,2024,1.87361390656267,,,,
FRA,pcpi_pch,1990,S,0.5,1990,3.09999905116494,3.40000027109553,3.40000027109553,3.39428015295238,3.39428015295238
FRA,pcpi_pch,1990,F,0,1990,3.19999945780876,3.40000027109553,3.40000027109553,3.39428015295238,3.39428015295238
FRA,pcpi_pch,1991,S,1.5,1990,2.80000260314945,3.10000207134777,3.11507178532662,3.11507415771499,3.21693420410201
FRA,pcpi_pch,1991,F,1,1990,3.00000039403445,3.10000207134777,3.11507178532662,3.11507415771499,3.21693420410201
FRA,pcpi_pch,1991,S,0.5,1991,3.1999970111311,3.10000207134777,3.11507178532662,3.11507415771499,3.21693420410201
FRA,pcpi_pch,1991,F,0,1991,3.29999958050933,3.10000207134777,3.11507178532662,3.11507415771499,3.21693420410201
FRA,pcpi_pch,1992,S,1.5,1991,2.80000043188793,2.76999761533052,2.36575170838582,2.36575170838582,2.36575875026215
FRA,pcpi_pch,1992,F,1,1991,2.99999822335877,2.76999761533052,2.36575170838582,2.36575170838582,2.36575875026215
FRA,pcpi_pch,1992,S,0.5,1992,2.69999547959894,2.76999761533052,2.36575170838582,2.36575170838582,2.36575875026215
FRA,pcpi_pch,1992,F,0,1992,2.90000147479514,2.76999761533052,2.36575170838582,2.36575170838582,2.36575875026215
FRA,pcpi_pch,1993,S,1.5,1992,2.50000510729489,2.09999935735024,2.10601381538096,2.10601411952336,2.10601411952336
FRA,pcpi_pch,1993,F,1,1992,2.79999785015259,2.09999935735024,2.10601381538096,2.10601411952336,2.10601411952336
FRA,pcpi_pch,1993,S,0.5,1993,1.99999596828651,2.09999935735024,2.10601381538096,2.10601411952336,2.10601411952336
FRA,pcpi_pch,1993,F,0,1993,2.20000001444145,2.09999935735024,2.10601381538096,2.10601411952336,2.10601411952336
FRA,pcpi_pch,1994,S,1.5,1993,2.50000794061127,1.74000057989183,1.66858903141776,1.66086657044213,1.66086657044213
FRA,pcpi_pch,1994,F,1,1993,2.20000091849513,1.74000057989183,1.66858903141776,1.66086657044213,1.66086657044213
FRA,pcpi_pch,1994,S,0.5,1994,1.86000643859285,1.74000057989183,1.66858903141776,1.66086657044213,1.66086657044213
FRA,pcpi_pch,1994,F,0,1994,1.80400057366867,1.74000057989183,1.66858903141776,1.66086657044213,1.66086657044213
FRA,pcpi_pch,1995,S,1.5,1994,2.09999683393463,1.77811774065002,1.77811774065002,1.77811774065002,1.77815252222828
FRA,pcpi_pch,1995,F,1,1994,1.76000168939654,1.77811774065002,1.77811774065002,1.77811774065002,1.77815252222828
FRA,pcpi_pch,1995,S,0.5,1995,1.99999777570985,1.77811774065002,1.77811774065002,1.77811774065002,1.77815252222828
FRA,pcpi_pch,1995,F,0,1995,2.10000084860595,1.77811774065002,1.77811774065002,1.77811774065002,1.77815252222828
FRA,pcpi_pch,1996,S,1.5,1995,2.00000027258453,2.0000016403485,2.0083120526678,2.0083120526678,2.0083120526678
FRA,pcpi_pch,1996,F,1,1995,2.3000015328619,2.0000016403485,2.0083120526678,2.0083120526678,2.0083120526678
FRA,pcpi_pch,1996,S,0.5,1996,1.80000215979166,2.0000016403485,2.0083120526678,2.0083120526678,2.0083120526678
FRA,pcpi_pch,1996,F,0,1996,2.10000138062691,2.0000016403485,2.0083120526678,2.0083120526678,2.0083120526678
FRA,pcpi_pch,1997,S,1.5,1996,1.799999019766,1.19891081201255,1.19891081201255,1.20031769765387,1.28342891837463
FRA,pcpi_pch,1997,F,1,1996,1.59999571570764,1.19891081201255,1.19891081201255,1.20031769765387,1.28342891837463
FRA,pcpi_pch,1997,S,0.5,1997,1.59999635478152,1.19891081201255,1.19891081201255,1.20031769765387,1.28342891837463
FRA,pcpi_pch,1997,F,0,1997,1.08450453202915,1.19891081201255,1.19891081201255,1.20031769765387,1.28342891837463
FRA,pcpi_pch,1998,S,1.5,1997,1.80000088376304,0.699999999999701,0.666507577330933,0.666507577330933,0.666507577330933
FRA,pcpi_pch,1998,F,1,1997,1.32493160716418,0.699999999999701,0.666507577330933,0.666507577330933,0.666507577330933
FRA,pcpi_pch,1998,S,0.5,1998,1.38962895204808,0.699999999999701,0.666507577330933,0.666507577330933,0.666507577330933
FRA,pcpi_pch,1998,F,0,1998,1.13939417694189,0.699999999999701,0.666507577330933,0.666507577330933,0.666507577330933
FRA,pcpi_pch,1999,S,1.5,1998,1.81493006622899,0.604871359955395,0.564001961746241,0.564001961746241,0.564001961746241
FRA,pcpi_pch,1999,F,1,1998,1.29749406712856,0.604871359955395,0.564001961746241,0.564001961746241,0.564001961746241
FRA,pcpi_pch,1999,S,0.5,1999,0.515674139487699,0.604871359955395,0.564001961746241,0.564001961746241,0.564001961746241
FRA,pcpi_pch,1999,F,0,1999,0.471140137203285,0.604871359955395,0.564001961746241,0.564001961746241,0.564001961746241
FRA,pcpi_pch,2000,S,1.5,1999,1.10602729390183,1.82882223847758,1.82882223847758,1.82882223847758,1.82882223847758
FRA,pcpi_pch,2000,F,1,1999,1.05672560942363,1.82882223847758,1.82882223847758,1.82882223847758,1.82882223847758
FRA,pcpi_pch,2000,S,0.5,2000,1.27217599945446,1.82882223847758,1.82882223847758,1.82882223847758,1.82882223847758
FRA,pcpi_pch,2000,F,0,2000,1.54517024230636,1.82882223847758,1.82882223847758,1.82882223847758,1.82882223847758
FRA,pcpi_pch,2001,S,1.5,2000,1.06285706833491,1.78001277139279,1.78001277139279,1.78001277139279,1.78001277139279
FRA,pcpi_pch,2001,F,1,2000,1.05944964864335,1.78001277139279,1.78001277139279,1.78001277139279,1.78001277139279
FRA,pcpi_pch,2001,S,0.5,2001,1.49994035727199,1.78001277139279,1.78001277139279,1.78001277139279,1.78001277139279
FRA,pcpi_pch,2001,F,0,2001,1.7755381996033,1.78001277139279,1.78001277139279,1.78001277139279,1.78001277139279
FRA,pcpi_pch,2002,S,1.5,2001,1.43032215511105,1.93710297231593,1.93710297231593,1.93710297231593,1.93710297231593
FRA,pcpi_pch,2002,F,1,2001,1.09741856648038,1.93710297231593,1.93710297231593,1.93710297231593,1.93710297231593
FRA,pcpi_pch,2002,S,0.5,2002,1.52313367919006,1.93710297231593,1.93710297231593,1.93710297231593,1.93710297231593
